title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
a persistent lock free queue for non volatile memory,2,A persistent lock-free queue for non-volatile memory,W2787794676; W3003414027,2018,48
a rely guarantee based simulation for verifying concurrent program transformations,2,A rely-guarantee-based simulation for verifying concurrent program transformations,W2099470183; W4239018153,2012,48
adapton,2,Adapton,W2106656979; W4246397708,2014,48
debugging the data plane with anteater,2,Debugging the data plane with anteater,W2115526539; W4254605472,2011,48
decomposition instead of self composition for proving the absence of timing channels,2,Decomposition instead of self-composition for proving the absence of timing channels,W2626217303; W4248431727,2017,48
deep probabilistic programming,2,Deep Probabilistic Programming,W2574963492; W2962937106,2017,48
delay bounded scheduling,2,Delay-bounded scheduling,W2109819183; W4230480080,2011,48
finding root causes of floating point error,2,Finding root causes of floating point error,W2798954527; W3011856193,2018,48
flashrelate extracting relational data from semi structured spreadsheets using examples,2,FlashRelate: extracting relational data from semi-structured spreadsheets using examples,W2146753709; W4252980914,2015,48
flux liquid types for rust,2,Flux: Liquid Types for Rust,W4285070015; W4379536176,"2022, 2023",48
foundations of the c concurrency memory model,2,Foundations of the C++ concurrency memory model,W2152885346; W4229558017,2008,48
hottsql proving query rewrites with univalent sql semantics,2,HoTTSQL: proving query rewrites with univalent SQL semantics,W2503947316; W2953181121,2017,48
indexed containers,2,Indexed Containers,W2296612922; W4240072532,"2009, 2015",48
lava,2,Lava,W2049600101; W4251523731,1998,48
mapreduce,2,MapReduce,W2157355837; W2173213060,"2008, 2009",48
optimistic parallelism requires abstractions,2,Optimistic parallelism requires abstractions,W2097717378; W4244452791,2007,48
partial escape analysis and scalar replacement for java,2,Partial Escape Analysis and Scalar Replacement for Java,W2075675735; W4236519034,2014,48
pmaf an algebraic framework for static analysis of probabilistic programs,2,PMAF: an algebraic framework for static analysis of probabilistic programs,W2799052418; W3043182562,2018,48
proving optimizations correct using parameterized program equivalence,2,Proving optimizations correct using parameterized program equivalence,W2134087751; W3087458664,2009,48
python,2,Python,W1979370131; W4247936475,2013,48
race detection for event driven mobile applications,2,Race detection for event-driven mobile applications,W2117184262; W4249574990,2014,48
sk_p a neural program corrector for moocs,2,sk_p: a neural program corrector for MOOCs,W2474318526; W2950636304,2016,48
sketching concurrent data structures,2,Sketching concurrent data structures,W1974514467; W4230093315,2008,48
statistically rigorous java performance evaluation,2,Statistically rigorous java performance evaluation,W2149207009; W3006649941,2007,48
surgical precision jit compilers,2,Surgical precision JIT compilers,W2088840230; W4235832836,2014,48
symbolic model checking without bdds,2,Symbolic Model Checking without BDDs,W1787074469; W4231640108,1999,48
synthesizing software verifiers from proof rules,2,Synthesizing software verifiers from proof rules,W2158493209; W4243887386,2012,48
taxdc,2,TaxDC,W2327265941; W4245930787,2016,48
the design of a task parallel library,2,The design of a task parallel library,W2113563476; W4230609379,2009,48
translation validation for a verified os kernel,2,Translation validation for a verified OS kernel,W2126823808; W4239392788,2013,48
trinity,2,Trinity,W2160459668; W2971324190,"2013, 2019",48
verified compilation of quantum oracles,2,Verified Compilation of Quantum Oracles,W4225677178; W4307886648,"2021, 2022",48
when polyhedral transformations meet simd code generation,2,When polyhedral transformations meet SIMD code generation,W1991009705; W3140469843,2013,48
a probabilistic pdl,2,A probabilistic PDL,W1982800675; W2000108089,"1983, 1985",46
an effect system for algebraic effects and handlers,2,An Effect System for Algebraic Effects and Handlers,W1735825634; W2949330042,"2013, 2014",46
distance makes the types grow stronger,2,Distance makes the types grow stronger,W2097061283; W3009518942,2010,46
modular verification of linearizability with non fixed linearization points,2,Modular verification of linearizability with non-fixed linearization points,W1981439955; W4248844407,2013,46
principal type schemes for gradual programs,2,Principal Type Schemes for Gradual Programs,W1970075481; W3005147209,"2014, 2015",46
semantics of probabilistic programs,2,Semantics of probabilistic programs,W2024355065; W2161290831,"1979, 1981",46
a functional quantum programming language,2,A Functional Quantum Programming Language,W2157601714; W3105690832,"2004, 2006",45
cerise program verification on a capability machine in the presence of untrusted code,2,Cerise: Program Verification on a Capability Machine in the Presence of Untrusted Code,W2966329817; W4386746600,"2021, 2023",45
checking interference with fractional permissions,2,Checking interference with fractional permissions,W1861989620; W4245729501,2003,45
ct wasm type driven secure cryptography for the web ecosystem,2,CT-wasm: type-driven secure cryptography for the web ecosystem,W2885285030; W3122076682,2019,45
data driven invariant learning for probabilistic programs,2,Data-Driven Invariant Learning for Probabilistic Programs,W3167391728; W4384696681,"2022, 2023",45
defining the undefinedness of c,2,Defining the undefinedness of C,W1969064066; W3016422245,2015,45
explicit effect subtyping,2,Explicit Effect Subtyping,W2797487433; W3030705729,"2018, 2020",45
generating good generators for inductive relations,2,Generating good generators for inductive relations,W2777305358; W2899241746,"2017, 2018",45
handbook of floating point arithmetic,2,Handbook of Floating-Point Arithmetic,W2887397219; W605824955,"2009, 2018",45
ifrit,2,IFRit,W2121816623; W4252602476,2012,45
labels and event processes in the asbestos operating system,2,Labels and event processes in the asbestos operating system,W2132185316; W4238764625,2005,45
language independent sandboxing of just in time compilation and self modifying code,2,Language-independent sandboxing of just-in-time compilation and self-modifying code,W2149603369; W4236561850,2011,45
learning minimal abstractions,2,Learning minimal abstractions,W2136535855; W4252599801,2011,45
loop and data transformations for sparse matrix code,2,Loop and data transformations for sparse matrix code,W2049487370; W4245643018,2015,45
memory persistency,2,Memory persistency,W2610308442; W4250281317,2014,45
modular verification of a non blocking stack,2,Modular verification of a non-blocking stack,W2137507504; W4253344502,2007,45
property directed inference of universal invariants or proving their absence,2,Property-Directed Inference of Universal Invariants or Proving Their Absence,W2603705845; W944431708,"2015, 2017",45
proving that programs eventually do something good,2,Proving that programs eventually do something good,W2053262709; W3160870209,2007,45
qed at large a survey of engineering of formally verified software,2,QED at Large: A Survey of Engineering of Formally Verified Software,W2972031508; W3104549103,2019,45
relaxed memory concurrency and verified compilation,2,Relaxed-memory concurrency and verified compilation,W2162627428; W4247648759,2011,45
set theoretic types for polymorphic variants,2,Set-theoretic types for polymorphic variants,W2415457035; W3177942140,2016,45
statically verified refinements for multiparty protocols,2,Statically verified refinements for multiparty protocols,W3107309644; W6893851399,2020,45
the impact of higher order state and control effects on local relational reasoning,2,The impact of higher-order state and control effects on local relational reasoning,W2101443478; W2153128836,"2010, 2012",45
understanding and detecting real world performance bugs,2,Understanding and detecting real-world performance bugs,W2145458045; W3003877692,2012,45
a type system for borrowing permissions,2,A type system for borrowing permissions,W2042694844; W4241045451,2012,44
alone together compositional reasoning and inference for weak isolation,2,Alone together: compositional reasoning and inference for weak isolation,W2765382207; W2898836676,2017,44
architecting phase change memory as a scalable dram alternative,2,Architecting phase change memory as a scalable dram alternative,W2102449048; W2998915116,2009,44
cdschecker,2,CDSchecker,W1983206712; W4242194760,2013,44
efficient search for inputs causing high floating point errors,2,Efficient search for inputs causing high floating-point errors,W2122738744; W3005181937,2014,44
flexible dynamic information flow control in haskell,2,Flexible dynamic information flow control in Haskell,W2005525408; W4253277433,2011,44
iterative context bounding for systematic testing of multithreaded programs,2,Iterative context bounding for systematic testing of multithreaded programs,W2135948849; W3017319410,2007,44
parameterised multiparty session types,2,Parameterised Multiparty Session Types,W1859947016; W2003314287,"2010, 2012",44
partial online cycle elimination in inclusion constraint graphs,2,Partial online cycle elimination in inclusion constraint graphs,W2065088439; W4234849644,1998,44
precise and compact modular procedure summaries for heap manipulating programs,2,Precise and compact modular procedure summaries for heap manipulating programs,W2164151624; W4245321046,2011,44
replication aware linearizability,2,Replication-Aware Linearizability,W2932425787; W2963419690,2019,44
semfix program repair via semantic analysis,2,SemFix: program repair via semantic analysis,W2016027000; W4244452926,2013,44
soft contract verification for higher order stateful programs,2,Soft contract verification for higher-order stateful programs,W2767680799; W2898812172,2017,44
subtyping for session types in the pi calculus,2,Subtyping for session types in the pi calculus,W2088962847; W3029782483,2005,44
superion grammar aware greybox fuzzing,2,Superion: Grammar-Aware Greybox Fuzzing,W2903351947; W2963350015,"2018, 2019",44
the algorithmic foundations of differential privacy,2,The Algorithmic Foundations of Differential Privacy,W2027595342; W4205228770,"2013, 2014",44
verified peephole optimizations for compcert,2,Verified peephole optimizations for CompCert,W2410327772; W3015316918,2016,44
phase change memory,2,Phase-change memory,W2001217269; W2526202524,"2010, 2013",43
a calculus of atomic actions,2,A calculus of atomic actions,W2155487709; W3011177614,2009,42
a formally verified compiler for lustre,2,A formally verified compiler for Lustre,W2609686781; W3009630147,2017,42
associated type synonyms,2,Associated type synonyms,W2107214848; W4251000889,2005,42
bounded exhaustive test input generation from hybrid invariants,2,Bounded exhaustive test input generation from hybrid invariants,W1976484136; W4241810885,2014,42
colored local type inference,2,Colored local type inference,W2032220227; W3010001255,2001,42
decidability of parameterized verification,2,Decidability of Parameterized Verification,W1918351269; W4300743836,2015,42
emptyheaded,2,EmptyHeaded,W2232813226; W4244579861,"2016, 2017",42
example guided synthesis of relational queries,2,Example-Guided Synthesis of Relational Queries,W3173382652; W3174531561,2021,42
extensible effects,2,Extensible effects,W2084115964; W4231733625,2013,42
gklee,2,GKLEE,W2076960126; W4256019627,2012,42
goldilocks,2,Goldilocks,W2153174073; W4243332545,2007,42
liquidhaskell,2,LiquidHaskell,W2139143398; W4238823939,2014,42
literace,2,LiteRace,W2150602145; W4247819329,2009,42
managing update conflicts in bayou a weakly connected replicated storage system,2,"Managing update conflicts in Bayou, a weakly connected replicated storage system",W1602193077; W2117260615,1995,42
mibench a free commercially representative embedded benchmark suite,2,"MiBench: A free, commercially representative embedded benchmark suite",W1686420892; W4232751114,"2001, 2005",42
overhauling sc atomics in c11 and opencl,2,Overhauling SC atomics in C11 and OpenCL,W1945229733; W4241690861,2016,42
practical virtual method call resolution for java,2,Practical virtual method call resolution for Java,W1974608873; W3005412289,2000,42
probabilistic coherence spaces are fully abstract for probabilistic pcf,2,Probabilistic coherence spaces are fully abstract for probabilistic PCF,W2033104047; W3122223284,2014,42
probabilistic termination,2,Probabilistic Termination,W2166496828; W4235271643,"2014, 2015",42
refinement types for typescript,2,Refinement types for TypeScript,W2340618214; W2949969177,2016,42
type inference for static compilation of javascript,2,Type inference for static compilation of JavaScript,W2534815697; W4249072346,2016,42
a functional correspondence between evaluators and abstract machines,2,A functional correspondence between evaluators and abstract machines,W2102435409; W2490166346,2003,40
an equivalence preserving cps translation via multi language semantics,2,An equivalence-preserving CPS translation via multi-language semantics,W2168743513; W4249824250,2011,40
automatically classifying benign and harmful data races using replay analysis,2,Automatically classifying benign and harmful data races using replay analysis,W2135023759; W3085225935,2007,40
call by name call by value call by need and the linear lambda calculus,2,"Call-by-name, call-by-value, call-by-need and the linear lambda calculus",W1995338553; W2123733847,"1995, 1999",40
composable memory transactions,2,Composable memory transactions,W2076149580; W2129990308,"2005, 2008",40
context sensitive data dependence analysis via linear conjunctive language reachability,2,Context-sensitive data-dependence analysis via linear conjunctive language reachability,W2561266941; W3009945260,"2016, 2017",40
deepxplore,2,DeepXplore,W2616028256; W2982138961,"2017, 2019",40
don t sit on the fence,2,Don’t Sit on the Fence,W1588615233; W1915338469,"2014, 2017",40
drfx,2,DRFX,W2152621318; W4256623604,2010,40
functional reactive animation,2,Functional reactive animation,W2079512738; W2997671293,1997,40
funtal reasonably mixing a functional language with assembly,2,FunTAL: reasonably mixing a functional language with assembly,W2625268615; W2952419681,2017,40
hoare style specifications as correctness conditions for non linearizable concurrent objects,2,Hoare-style specifications as correctness conditions for non-linearizable concurrent objects,W2207337040; W2950427834,2016,40
information flow inference for ml,2,Information flow inference for ML,W2040669676; W2061056245,"2002, 2003",40
java without the coffee breaks,2,Java without the coffee breaks,W2146340823; W3006856834,2001,40
koka programming with row polymorphic effect types,2,Koka: Programming with Row Polymorphic Effect Types,W2109375905; W6948077401,2014,40
multiparty session types as coherence proofs,2,Multiparty Session Types as Coherence Proofs,W2246451781; W2553788418,"2015, 2016",40
octet,2,OCTET,W1963966612; W4251580636,2013,40
pattern synonyms,2,Pattern synonyms,W2555814573; W4238471821,2016,40
practical affine types,2,Practical affine types,W1971591193; W4242423436,2011,40
producing wrong data without doing anything obviously wrong,2,Producing wrong data without doing anything obviously wrong!,W2153530968; W4246438243,2009,40
ringer web automation by demonstration,2,Ringer: web automation by demonstration,W2537005436; W3101669531,2016,40
speeding up slicing,2,Speeding up slicing,W2088140535; W4235915479,1994,40
staged parser combinators for efficient data processing,2,Staged parser combinators for efficient data processing,W2135641942; W4249680514,2014,40
synthesis of interface specifications for java classes,2,Synthesis of interface specifications for Java classes,W2119467398; W3139990154,2005,40
synthesizing abstract transformers,2,Synthesizing abstract transformers,W3157256658; W4292120995,"2021, 2022",40
type preserving cps translation of σ and π types is not not possible,2,Type-preserving CPS translation of Σ and Π types is not not possible,W2779172326; W2898917546,"2017, 2018",40
typilus neural type hints,2,Typilus: neural type hints,W3018033251; W3105735055,2020,40
what is decidable about string constraints with the replaceall function,2,What Is Decidable about String Constraints with the ReplaceAll Function,W2768005116; W2963054422,2017,40
a dynamic program analysis to find floating point accuracy problems,2,A dynamic program analysis to find floating-point accuracy problems,W1986969990; W3110699689,2012,39
a framework for defining logics,2,A framework for defining logics,W1483170865; W1974190112,1993,39
a theory of gradual effect systems,2,A theory of gradual effect systems,W2045949477; W4251269212,2014,39
assigning meanings to programs,2,Assigning Meanings to Programs,W2069300761; W4251912342,"1967, 1993",39
building program optimizers with rewriting strategies,2,Building program optimizers with rewriting strategies,W1978948468; W3007997627,1998,39
continuity analysis of programs,2,Continuity analysis of programs,W2131275552; W3107963428,2010,39
foundations of path dependent types,2,Foundations of path-dependent types,W2103094658; W3014311131,2014,39
fph,2,FPH,W2058141320; W4231402167,2008,39
i structures data structures for parallel computing,2,I-Structures: Data structures for parallel computing,W1843718812; W1986804682,"1987, 1989",39
korat,2,Korat,W2162120832; W4253606798,2002,39
making context sensitive points to analysis with heap cloning practical for the real world,2,Making context-sensitive points-to analysis with heap cloning practical for the real world,W2048229966; W3009050206,2007,39
recursive proofs for inductive tree data structures,2,Recursive proofs for inductive tree data-structures,W2171339035; W4245933182,2012,39
representing control in the presence of one shot continuations,2,Representing control in the presence of one-shot continuations,W2033675214; W4242142379,1996,39
static contract checking for haskell,2,Static contract checking for Haskell,W2059703978; W4229527230,2009,39
theorem proving in higher order logics,2,Theorem Proving in Higher Order Logics,W1624142974; W4298072213,"1999, 2009",39
a concurrency semantics for relaxed atomics that permits optimisation and avoids thin air executions,2,A concurrency semantics for relaxed atomics that permits optimisation and avoids thin-air executions,W2293159724; W3125539909,2016,38
a deductive approach to program synthesis,2,A Deductive Approach to Program Synthesis,W1541573578; W2012436850,"1980, 1981",38
eliminating array bound checking through dependent types,2,Eliminating array bound checking through dependent types,W2024914463; W3015747443,1998,38
smartcheck,2,SmartCheck,W2017114730; W2805827286,"2014, 2018",38
snap,2,SNAP,W2256352919; W2982176300,"2016, 2019",38
tequila a platform for rapid development of quantum algorithms,2,TEQUILA: a platform for rapid development of quantum algorithms,W3101038858; W3132847260,2021,37
a constraint based approach to solving games on infinite graphs,2,A constraint-based approach to solving games on infinite graphs,W2140673956; W3032958005,2014,36
a practical framework for type inference error explanation,2,A practical framework for type inference error explanation,W2537680118; W3024847434,2016,36
a relational model of types and effects in higher order concurrent separation logic,2,A relational model of types-and-effects in higher-order concurrent separation logic,W2567502494; W3087579680,"2016, 2017",36
a short counterexample property for safety and liveness verification of fault tolerant distributed algorithms,2,A short counterexample property for safety and liveness verification of fault-tolerant distributed algorithms,W2518474658; W2999609829,"2016, 2017",36
a type and effect system for atomicity,2,A type and effect system for atomicity,W2102640269; W4235116491,2003,36
a type theory for probability density functions,2,A type theory for probability density functions,W2135181456; W4230647180,2012,36
an executable formal semantics of c with applications,2,An executable formal semantics of C with applications,W2162604396; W4255006224,2012,36
automated mutual explicit induction proof in separation logic,2,Automated Mutual Explicit Induction Proof in Separation Logic,W2512685755; W2953221142,2016,36
automated synthesis of comprehensive memory model litmus test suites,2,Automated Synthesis of Comprehensive Memory Model Litmus Test Suites,W2605308338; W3019068005,2017,36
automatic patch generation learned from human written patches,2,Automatic patch generation learned from human-written patches,W2076719273; W4255632703,2013,36
automatically learning shape specifications,2,Automatically learning shape specifications,W2414616261; W4238096783,2016,36
backtracking interleaving and terminating monad transformers,2,"Backtracking, interleaving, and terminating monad transformers",W1979039632; W2999365512,2005,36
bidirectionalizing graph transformations,2,Bidirectionalizing graph transformations,W2046832714; W4245974437,2010,36
c4,2,C4,W2064091303; W4241990458,2011,36
cets,2,CETS,W2122757982; W4230177578,2010,36
context transformations for pointer analysis,2,Context transformations for pointer analysis,W2626356917; W4253459289,2017,36
control flow refinement and progress invariants for bound analysis,2,Control-flow refinement and progress invariants for bound analysis,W2159756689; W3009765366,2009,36
coverage based greybox fuzzing as markov chain,2,Coverage-based Greybox Fuzzing as Markov Chain,W2535617737; W2777430404,"2016, 2017",36
end to end verification of stack space bounds for c programs,2,End-to-end verification of stack-space bounds for C programs,W1963833875; W3003830046,2014,36
equality saturation for tensor graph superoptimization,2,Equality Saturation for Tensor Graph Superoptimization,W3120853372; W3139406790,2021,36
formal verification of translation validators,2,Formal verification of translation validators,W1981899763; W3216594676,"2008, 2009",36
fully abstract compilation to javascript,2,Fully abstract compilation to JavaScript,W2108416936; W3013655058,2013,36
getting f bounded polymorphism into shape,2,Getting F-bounded polymorphism into shape,W1981173279; W3010880730,2014,36
halo,2,HALO,W2120172501; W4241135032,2013,36
hybrid dynamic data race detection,2,Hybrid dynamic data race detection,W2127989655; W3023641965,2003,36
imagenet large scale visual recognition challenge,2,ImageNet Large Scale Visual Recognition Challenge,W2117539524; W4299619069,"2015, 2021",36
integrating linear and dependent types,2,Integrating Linear and Dependent Types,W2114058479; W4233723952,"2014, 2015",36
learning a strategy for adapting a program analysis via bayesian optimisation,2,Learning a strategy for adapting a program analysis via bayesian optimisation,W2028284083; W3015754276,2015,36
logical types for untyped languages,2,Logical types for untyped languages,W2096368963; W4238738727,2010,36
making the future safe for the past,2,Making the future safe for the past,W2137417304; W2998644885,1998,36
meta theory à la carte,2,Meta-theory à la carte,W2128448167; W3014685094,2013,36
mining specifications,2,Mining specifications,W2295399529; W4241531852,2002,36
modular monadic meta theory,2,Modular monadic meta-theory,W2104422179; W4206260558,2013,36
modular type classes,2,Modular type classes,W2151275061; W4237270226,2007,36
neurosymbolic programming,2,Neurosymbolic Programming,W4205702708; W4206647573,2021,36
openpiton,2,OpenPiton,W2333603443; W4253751283,2016,36
ownership types for safe region based memory management in real time java,2,Ownership types for safe region-based memory management in real-time Java,W2116318340; W4238698576,2003,36
pacer,2,PACER,W2078197548; W4248333643,2010,36
path oram,2,Path ORAM,W2170993700; W2796933658,"2013, 2018",36
proving acceptability properties of relaxed nondeterministic approximate programs,2,Proving acceptability properties of relaxed nondeterministic approximate programs,W2156745311; W4253627437,2012,36
safe haskell,2,Safe haskell,W2296133386; W4256299095,2012,36
schism,2,Schism,W1977365631; W4246720585,2010,36
self optimizing ast interpreters,2,Self-optimizing AST interpreters,W2091228796; W2998420272,2012,36
session types revisited,2,Session types revisited,W2128280268; W4232327061,"2012, 2017",36
snugglebug,2,Snugglebug,W2114337691; W4250336630,2009,36
stencil computation optimization and auto tuning on state of the art multicore architectures,2,Stencil computation optimization and auto-tuning on state-of-the-art multicore architectures,W2154786353; W3152199537,2008,36
system fc with explicit kind equality,2,System FC with explicit kind equality,W1968424997; W4254471976,2013,36
taming the parallel effect zoo,2,Taming the parallel effect zoo,W2025442455; W3178808021,2014,36
test driven synthesis,2,Test-driven synthesis,W1965446936; W3004239592,2014,36
the data locality of work stealing,2,The data locality of work stealing,W1968020161; W1995873479,"2000, 2002",36
the set constraint cfl reachability connection in practice,2,The set constraint/CFL reachability connection in practice,W2135565307; W2998965762,2004,36
the superblock an effective technique for vliw and superscalar compilation,2,The superblock: An effective technique for VLIW and superscalar compilation,W2063255488; W2244332765,1993,36
there is no fork,2,There is no fork,W2068873267; W3010222729,2014,36
threadscan,2,ThreadScan,W2053990855; W2799964882,"2015, 2017",36
til,2,TIL,W2171691057; W4243990976,"1996, 2004",36
towards a program logic for javascript,2,Towards a program logic for JavaScript,W2063692999; W4242904834,2012,36
a coq library for internal verification of running times,2,A Coq Library for Internal Verification of Running-Times,W2408675243; W2615175639,"2016, 2017",35
accepting blame for safe tunneled exceptions,2,Accepting blame for safe tunneled exceptions,W2410807300; W4232769257,2016,35
ethainter a smart contract security analyzer for composite vulnerabilities,2,Ethainter: a smart contract security analyzer for composite vulnerabilities,W3034136313; W3039413122,2020,35
frenetic,2,Frenetic,W2099501333; W4234045312,2011,35
hails protecting data privacy in untrusted web applications,2,Hails: Protecting Data Privacy in Untrusted Web Applications,W2122167991; W2625599531,"2012, 2017",35
idle time garbage collection scheduling,2,Idle time garbage collection scheduling,W2417309458; W3158712548,2016,35
it s alive continuous feedback in ui programming,2,It's alive! continuous feedback in UI programming,W2051834506; W4238434630,2013,35
ott,2,Ott,W1994736245; W4231312288,2007,35
overcode,2,OverCode,W2020638820; W2076771354,"2014, 2015",35
programming heterogeneous systems from an image processing dsl,2,Programming Heterogeneous Systems from an Image Processing DSL,W2544002786; W2952949371,"2016, 2017",35
pushdown flow analysis with abstract garbage collection,2,Pushdown flow analysis with abstract garbage collection,W1984188064; W3098054590,2014,35
quantified class constraints,2,Quantified class constraints,W2751718667; W3128717498,2017,35
runtime pointer disambiguation,2,Runtime pointer disambiguation,W2066535672; W4237416213,2015,35
secure web applications via automatic partitioning,2,Secure web applications via automatic partitioning,W2166510103; W4246597393,2007,35
specifying and verifying sparse matrix codes,2,Specifying and verifying sparse matrix codes,W2130586555; W4233661064,2010,35
symbolic optimization with smt solvers,2,Symbolic optimization with SMT solvers,W2157056800; W3029402327,2014,35
terra,2,Terra,W2132598718; W4241563291,2013,35
toward compositional verification of interruptible os kernels and device drivers,2,Toward compositional verification of interruptible OS kernels and device drivers,W2412857152; W2781213257,"2016, 2017",35
toward semantic foundations for program editors,2,Toward Semantic Foundations for Program Editors,W2604229470; W2950862646,2017,35
verifying reliable network components in a distributed separation logic with dependent separation protocols,2,Verifying Reliable Network Components in a Distributed Separation Logic with Dependent Separation Protocols,W4386317072; W6968998399,2023,35
a program logic for concurrent objects under fair scheduling,2,A program logic for concurrent objects under fair scheduling,W2236913981; W3207370208,2016,34
expressive modular fine grained concurrency specification,2,Expressive modular fine-grained concurrency specification,W2135820369; W4249110288,2011,34
gradual refinement types,2,Gradual refinement types,W2561537655; W3160402515,"2016, 2017",34
interacting quantum observables categorical algebra and diagrammatics,2,Interacting quantum observables: categorical algebra and diagrammatics,W2096331363; W3104500086,"2008, 2011",34
purely functional data structures,2,Purely functional data structures,W1580184003; W2105045857,"1998, 1999",34
scaling abstraction refinement via pruning,2,Scaling abstraction refinement via pruning,W2152791745; W4235421007,2011,34
type theory in type theory using quotient inductive types,2,Type theory in type theory using quotient inductive types,W2274485505; W3138202147,2016,34
weighted pushdown systems and their application to interprocedural dataflow analysis,2,Weighted Pushdown Systems and Their Application to Interprocedural Dataflow Analysis,W4230104298; W4244831445,"2003, 2005",34
a language for automatically enforcing privacy policies,2,A language for automatically enforcing privacy policies,W1972999341; W4243963980,2012,33
a library for light weight information flow security in haskell,2,A library for light-weight information-flow security in haskell,W2027961147; W2997403635,2008,33
a practical construction for decomposing numerical abstract domains,2,A practical construction for decomposing numerical abstract domains,W2780061171; W2898998338,"2017, 2018",33
a scalable commodity data center network architecture,2,"A scalable, commodity data center network architecture",W2130531694; W4238465620,2008,33
a virtual class calculus,2,A virtual class calculus,W2057779758; W4233314181,2006,33
abstract acceleration of general linear loops,2,Abstract acceleration of general linear loops,W2095810701; W3119451573,2014,33
an operational semantics for c c 11 concurrency,2,An operational semantics for C/C++11 concurrency,W2533070090; W3005302725,2016,33
compiling markov chain monte carlo algorithms for probabilistic modeling,2,Compiling Markov chain Monte Carlo algorithms for probabilistic modeling,W2624999081; W3006162436,2017,33
contracts made manifest,2,Contracts made manifest,W2027189949; W2079636731,"2010, 2012",33
decision procedures for algebraic data types with abstractions,2,Decision procedures for algebraic data types with abstractions,W2162315884; W3012238446,2010,33
disjoint intersection types,2,Disjoint intersection types,W2517607333; W4252408024,2016,33
dynamic partial order reduction for relaxed memory models,2,Dynamic partial order reduction for relaxed memory models,W2024875714; W3005401021,2015,33
environmental bisimulations for higher order languages,2,Environmental bisimulations for higher-order languages,W2023149698; W2144562508,"2007, 2011",33
feat,2,Feat,W2031872041; W4243922950,2012,33
higher order functional reactive programming in bounded space,2,Higher-order functional reactive programming in bounded space,W2096936728; W4236134058,2012,33
interactive parser synthesis by example,2,Interactive parser synthesis by example,W1982239607; W3042240372,2015,33
katch a fast symbolic verifier for netkat,2,KATch: A Fast Symbolic Verifier for NetKAT,W4394661176; W6948934285,2024,33
modular product programs,2,Modular Product Programs,W2797766813; W2995573473,"2018, 2019",33
polymorphism and separation in hoare type theory,2,Polymorphism and separation in hoare type theory,W2109772966; W3142658169,2006,33
practical probabilistic programming with monads,2,Practical probabilistic programming with monads,W2030213839; W4238303928,2015,33
proving hypersafety compositionally,2,Proving hypersafety compositionally,W4307886450; W6891912751,2022,33
specification inference using context free language reachability,2,Specification Inference Using Context-Free Language Reachability,W2132481916; W3005667672,"2014, 2015",33
ssprove a foundational framework for modular cryptographic proofs in coq,2,SSProve: A Foundational Framework for Modular Cryptographic Proofs in Coq,W3159613676; W3187205106,"2021, 2023",33
symmetric lenses,2,Symmetric lenses,W2294683416; W4244238952,2011,33
towards a mechanized metatheory of standard ml,2,Towards a mechanized metatheory of standard ML,W1987755707; W3163573021,2007,33
verifying read copy update in a logic for weak memory,2,Verifying read-copy-update in a logic for weak memory,W2063666348; W3015474483,2015,33
λs computable semantics for differentiable programming with higher order functions and datatypes,2,𝜆ₛ: computable semantics for differentiable programming with higher-order functions and datatypes,W3043507022; W3118180050,2021,33
a fast abstract syntax tree interpreter for r,2,A fast abstract syntax tree interpreter for R,W2026489303; W3033264920,2014,32
a kripke logical relation between ml and assembly,2,A kripke logical relation between ML and assembly,W2091779700; W4252501555,2011,32
a model learner pattern for bayesian reasoning,2,A model-learner pattern for bayesian reasoning,W2059802626; W4237267501,2013,32
analytical modeling of cache behavior for affine programs,2,Analytical modeling of cache behavior for affine programs,W2779253217; W2898885257,"2017, 2018",32
associated types with class,2,Associated types with class,W2168938117; W4235669620,2005,32
asynchronous functional reactive programming for guis,2,Asynchronous functional reactive programming for GUIs,W2113112607; W3006529926,2013,32
closed type families with overlapping equations,2,Closed type families with overlapping equations,W2129777450; W4231010649,2014,32
complete functional synthesis,2,Complete functional synthesis,W2105315191; W3149892921,2010,32
conditionally correct superoptimization,2,Conditionally correct superoptimization,W1979660747; W3015790292,2015,32
dependently typed programming in agda,2,Dependently typed programming in Agda,W1982209843; W4242767025,2009,32
efficient synthesis of probabilistic programs,2,Efficient synthesis of probabilistic programs,W2048027175; W4235951092,2015,32
flow sensitive pointer analysis for millions of lines of code,2,Flow-sensitive pointer analysis for millions of lines of code,W2134569009; W3147482974,2011,32
forward and backward simulations,2,Forward and Backward Simulations,W2041617655; W2328819335,"1995, 1996",32
generative type abstraction and type level computation,2,Generative type abstraction and type-level computation,W2029422023; W4213422035,2011,32
gradual typestate,2,Gradual typestate,W2912880222; W4254551474,2011,32
ice based refinement type discovery for higher order functional programs,2,ICE-Based Refinement Type Discovery for Higher-Order Functional Programs,W2798232457; W3046473740,"2018, 2020",32
introspective pushdown analysis of higher order programs,2,Introspective pushdown analysis of higher-order programs,W1990810662; W2952465326,2012,32
iterative optimization in the polyhedral model,2,Iterative optimization in the polyhedral model,W2031775479; W3009106325,2008,32
multi stage programming with explicit annotations,2,Multi-stage programming with explicit annotations,W2096314727; W3163302786,1997,32
on the bright side of type classes,2,On the bright side of type classes,W1975664374; W4213453328,2011,32
